Retailer;Retailer ID;Date;Month;Region;State;Beverage Brand;Category;Price per Unit;Units Sold;Week Number;days of week;Sugar/No sugar;POPULATION DENSITY;WEATHER°C
Sodapop;1185732;14/01/2022;1;Northeast;New York;Coca-Cola;Soda;$0.50 ;12;3;Friday;Sugar;427.9;33.7
Sodapop;1185732;14/01/2022;1;Northeast;New York;Diet Coke;Soda;$0.50 ;10;3;Saturday;No Sugar;427.9;25.66
Sodapop;1185732;14/01/2022;1;Northeast;New York;Sprite;Soda;$0.40 ;10;3;Sunday;Sugar;427.9;34.71
Sodapop;1185732;14/01/2022;1;Northeast;New York;Fanta;Soda;$0.45 ;8.5;3;Monday;Sugar;427.9;28.57
Sodapop;1185732;14/01/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9;3;Tuesday;Sugar;427.9;28.4
Sodapop;1185732;14/01/2022;1;Northeast;New York;Dasani Water;Water;$0.50 ;10;3;Wednesday;No Sugar;427.9;12.1
Sodapop;1185732;12/02/2022;1;Northeast;New York;Coca-Cola;Soda;$0.50 ;12.5;7;Thursday;Sugar;427.9;33.76
Sodapop;1185732;12/02/2022;1;Northeast;New York;Diet Coke;Soda;$0.50 ;9;7;Friday;No Sugar;427.9;15.53
Sodapop;1185732;12/02/2022;1;Northeast;New York;Sprite;Soda;$0.40 ;9.5;7;Saturday;Sugar;427.9;30.25
Sodapop;1185732;12/02/2022;1;Northeast;New York;Fanta;Soda;$0.45 ;8.25;7;Sunday;Sugar;427.9;32.63
Sodapop;1185732;12/02/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9;7;Monday;Sugar;427.9;36.78
Sodapop;1185732;12/02/2022;1;Northeast;New York;Dasani Water;Water;$0.50 ;10;7;Tuesday;No Sugar;427.9;8.28
Sodapop;1185732;10/03/2022;1;Northeast;New York;Coca-Cola;Soda;$0.50 ;12.2;11;Wednesday;Sugar;427.9;28.25
Sodapop;1185732;10/03/2022;1;Northeast;New York;Diet Coke;Soda;$0.50 ;9.25;11;Thursday;No Sugar;427.9;11.39
Sodapop;1185732;10/03/2022;1;Northeast;New York;Sprite;Soda;$0.40 ;9.5;11;Friday;Sugar;427.9;7.05
Sodapop;1185732;10/03/2022;1;Northeast;New York;Fanta;Soda;$0.45 ;8;11;Saturday;Sugar;427.9;32.21
Sodapop;1185732;10/03/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;8.5;11;Sunday;Sugar;427.9;26.49
Sodapop;1185732;10/03/2022;1;Northeast;New York;Dasani Water;Water;$0.50 ;9.5;11;Monday;No Sugar;427.9;22.21
Sodapop;1185732;11/04/2022;1;Northeast;New York;Coca-Cola;Soda;$0.50 ;12;16;Tuesday;Sugar;427.9;20.83
Sodapop;1185732;11/04/2022;1;Northeast;New York;Diet Coke;Soda;$0.50 ;9;16;Wednesday;No Sugar;427.9;20.28
Sodapop;1185732;11/04/2022;1;Northeast;New York;Sprite;Soda;$0.40 ;9;16;Thursday;Sugar;427.9;35.01
Sodapop;1185732;11/04/2022;1;Northeast;New York;Fanta;Soda;$0.45 ;8.25;16;Friday;Sugar;427.9;24.93
Sodapop;1185732;11/04/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;8.25;16;Saturday;Sugar;427.9;31.28
Sodapop;1185732;11/04/2022;1;Northeast;New York;Dasani Water;Water;$0.50 ;9.5;16;Sunday;No Sugar;427.9;39.1
Sodapop;1185732;10/05/2022;1;Northeast;New York;Coca-Cola;Soda;$0.60 ;12.2;20;Monday;Sugar;427.9;23.08
Sodapop;1185732;10/05/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;9.25;20;Tuesday;No Sugar;427.9;12.28
Sodapop;1185732;10/05/2022;1;Northeast;New York;Sprite;Soda;$0.50 ;9;20;Wednesday;Sugar;427.9;36.48
Sodapop;1185732;10/05/2022;1;Northeast;New York;Fanta;Soda;$0.50 ;8.5;20;Thursday;Sugar;427.9;8.68
Sodapop;1185732;10/05/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;8.75;20;Friday;Sugar;427.9;32.93
